NOC,GDP,Year
Chile,16399,2012
Canada,112461,2012
Cameroon,1826,2012
Cabo Verde,88,2012
Burundi,114,2012
Burkina Faso,743,2012
Bulgaria,3311,2012
Brazil,151644,2012
Botswana,826,2012
Bermuda,363,2012
Belgium,30636,2012
Belarus,4012,2012
Barbados,295,2012
Bahrain,1937,2012
Azerbaijan,4258,2012
Austria,24996,2012
Australia,95183,2012
Armenia,624,2012
Argentina,33562,2012
Algeria,13946,2012
Albania,728,2012
Afghanistan,1195,2012
Zimbabwe,1070,2016
Zambia,1092,2016
Uzbekistan,4558,2016
Uruguay,3034,2016
United States,1000000,2016
United Arab Emirates,19614,2016
Ukraine,4942,2016
Uganda,1530,2016
Turkmenistan,1901,2016
Tunisia,2336,2016
Trinidad and Tobago,1239,2016
Tonga,0,2016
Togo,300,2016
Thailand,21959,2016
Tanzania,2624,2016
Tajikistan,349,2016
Switzerland,36559,2016
Sweden,27323,2016
Suriname,154,2016
Sudan,2244,2016
Sri Lanka,4658,2016
Spain,66079,2016
South Africa,17185,2016
Slovenia,2332,2016
Singapore,16944,2016
Serbia,2223,2016
Senegal,990,2016
Saudi Arabia,35394,2016
San Marino,55,2016
Samoa,22,2016
Romania,9831,2016
Qatar,8046,2016
Puerto Rico,5526,2016
Portugal,10948,2016
Poland,25144,2016
Philippines,16921,2016
Peru,10182,2016
Paraguay,1896,2016
Panama,3155,2016
Pakistan,16656,2016
Norway,19704,2016
North Macedonia,545,2016
Nigeria,21496,2016
Niger,530,2016
New Zealand,10022,2016
Netherlands,42369,2016
Namibia,547,2016
Mozambique,619,2016
Morocco,5910,2016
Montenegro,210,2016
Mongolia,572,2016
Moldova,402,2016
Mexico,59124,2016
Mauritius,647,2016
Malaysia,15998,2016
Luxembourg,3286,2016
Lithuania,2262,2016
Lebanon,2697,2016
Latvia,1419,2016
Kuwait,5795,2016
Kosovo,332,2016
Kenya,3956,2016
Kazakhstan,7277,2016
Jordan,2099,2016
Japan,266067,2016
Jamaica,726,2016
Italy,100331,2016
Israel,17045,2016
Ireland,16236,2016
Iraq,8844,2016
Indonesia,49533,2016
India,122012,2016
Iceland,1083,2016
Hungary,6816,2016
Haiti,725,2016
Guyana,216,2016
Guatemala,3490,2016
Grenada,34,2016
Greece,10246,2016
Ghana,2964,2016
Germany,188112,2016
Georgia,798,2016
Gabon,723,2016
France,131350,2016
Finland,12675,2016
Fiji,239,2016
Ethiopia,3928,2016
Estonia,1283,2016
Ecuador,5171,2016
Dominican Republic,4003,2016
Dominica,8,2016
Djibouti,116,2016
Denmark,16579,2016
Cyprus,1096,2016
Cuba,4836,2016
Croatia,2777,2016
Costa Rica,3107,2016
Colombia,15012,2016
China,597351,2016
Chile,13237,2016
Canada,81234,2016
Cameroon,1775,2016
Cabo Verde,75,2016
Burundi,118,2016
Burkina Faso,660,2016
Bulgaria,2847,2016
Brazil,95470,2016
Botswana,779,2016
Bermuda,344,2016
Belgium,25198,2016
Belarus,2515,2016
Barbados,261,2016
Bahrain,1779,2016
Azerbaijan,1991,2016
Austria,20913,2016
Australia,64155,2016
Armenia,538,2016
Argentina,29626,2016
Algeria,9590,2016
Albania,608,2016
Afghanistan,941,2016
Zimbabwe,1234,2020
Zambia,826,2020
Uzbekistan,3088,2020
Uruguay,2490,2020
United States,1000000,2020
United Arab Emirates,16342,2020
Ukraine,7311,2020
Uganda,1737,2020
Turkmenistan,2122,2020
Tunisia,1966,2020
Trinidad and Tobago,951,2020
Tonga,0,2020
Togo,323,2020
Thailand,23413,2020
Tanzania,3070,2020
Tajikistan,357,2020
Switzerland,34724,2020
Sweden,25506,2020
Suriname,113,2020
Sudan,1242,2020
Sri Lanka,3924,2020
Spain,60377,2020
South Africa,15804,2020
Slovenia,2476,2020
Singapore,16343,2020
Serbia,2593,2020
Senegal,1125,2020
Saudi Arabia,34363,2020
San Marino,49,2020
Samoa,17,2020
Romania,11779,2020
Qatar,6739,2020
Puerto Rico,4806,2020
Portugal,10729,2020
Poland,28351,2020
Philippines,16917,2020
Peru,9408,2020
Paraguay,1636,2020
Panama,2648,2020
Pakistan,14045,2020
Norway,17193,2020
North Macedonia,555,2020
Nigeria,20216,2020
Niger,620,2020
New Zealand,9937,2020
Netherlands,43649,2020
Namibia,472,2020
Mozambique,643,2020
Morocco,5659,2020
Montenegro,200,2020
Mongolia,600,2020
Moldova,516,2020
Mexico,52476,2020
Mauritius,510,2020
Malaysia,15779,2020
Luxembourg,3428,2020
Lithuania,2665,2020
Lebanon,1461,2020
Latvia,1539,2020
Kuwait,5177,2020
Kosovo,338,2020
Kenya,4690,2020
Kazakhstan,7988,2020
Jordan,2023,2020
Japan,236732,2020
Jamaica,623,2020
Italy,89305,2020
Israel,19258,2020
Ireland,20420,2020
Iraq,8448,2020
Indonesia,49572,2020
India,125241,2020
Iceland,989,2020
Hungary,7342,2020
Haiti,656,2020
Guyana,232,2020
Guatemala,3616,2020
Grenada,25,2020
Greece,8938,2020
Ghana,3256,2020
Germany,184495,2020
Georgia,726,2020
Gabon,695,2020
France,123980,2020
Finland,12620,2020
Fiji,184,2020
Ethiopia,5018,2020
Estonia,1466,2020
Ecuador,4466,2020
Dominican Republic,3669,2020
Dominica,0,2020
Djibouti,125,2020
Denmark,16631,2020
Cyprus,1173,2020
Cuba,5004,2020
Croatia,2691,2020
Costa Rica,2898,2020
Colombia,12637,2020
China,687811,2020
Chile,11873,2020
Canada,77513,2020
Cameroon,1886,2020
Cabo Verde,62,2020
Burundi,100,2020
Burkina Faso,806,2020
Bulgaria,3288,2020
Brazil,69103,2020
Botswana,677,2020
Bermuda,299,2020
Belgium,24782,2020
Belarus,2850,2020
Barbados,218,2020
Bahrain,1655,2020
Azerbaijan,1976,2020
Austria,20319,2020
Australia,62187,2020
Armenia,568,2020
Argentina,18041,2020
Algeria,7697,2020
Albania,690,2020
Afghanistan,911,2020
