NOC,GDP,Year
Austria,22825,1976
Australia,56064,1976
Argentina,27297,1976
Algeria,9447,1976
Zimbabwe,2318,1980
Zambia,1340,1980
Uruguay,3538,1980
United States,1000000,1980
United Arab Emirates,15240,1980
Uganda,416,1980
Tunisia,3041,1980
Trinidad and Tobago,2163,1980
Tonga,0,1980
Togo,543,1980
Thailand,11304,1980
Tanzania,3974,1980
Switzerland,42874,1980
Sweden,49640,1980
Suriname,259,1980
Sudan,3114,1980
Sri Lanka,1389,1980
Spain,81388,1980
South Africa,31274,1980
Singapore,4144,1980
Senegal,1559,1980
Saudi Arabia,57568,1980
Samoa,25,1980
Qatar,2721,1980
Puerto Rico,5033,1980
Portugal,11494,1980
Philippines,12877,1980
Peru,6329,1980
Paraguay,1538,1980
Panama,1596,1980
Pakistan,8260,1980
Norway,22534,1980
Nigeria,22451,1980
Niger,859,1980
New Zealand,8116,1980
Netherlands,68382,1980
Namibia,829,1980
Morocco,7586,1980
Mongolia,716,1980
Mexico,71930,1980
Mauritius,382,1980
Malaysia,8551,1980
Luxembourg,2088,1980
Kuwait,10004,1980
Kenya,2524,1980
Jordan,1349,1980
Japan,395248,1980
Jamaica,919,1980
Italy,167399,1980
Israel,8853,1980
Ireland,7592,1980
Iraq,18379,1980
Indonesia,25349,1980
India,65193,1980
Iceland,1164,1980
Hungary,8045,1980
Haiti,465,1980
Guyana,192,1980
Guatemala,2738,1980
Grenada,20,1980
Greece,19594,1980
Ghana,1537,1980
Germany,333788,1980
Gabon,1479,1980
France,243057,1980
Finland,18758,1980
Fiji,402,1980
Ethiopia,2435,1980
Ecuador,6239,1980
Dominican Republic,2347,1980
Dominica,6,1980
Denmark,24764,1980
Cyprus,735,1980
Cuba,6950,1980
Costa Rica,1672,1980
Colombia,11671,1980
China,66880,1980
Chile,10143,1980
Canada,96149,1980
Cameroon,2317,1980
Cabo Verde,31,1980
Burundi,303,1980
Burkina Faso,656,1980
Bulgaria,6924,1980
Brazil,83065,1980
Botswana,352,1980
Bermuda,196,1980
Belgium,44369,1980
Barbados,335,1980
Bahrain,1204,1980
Austria,28588,1980
Australia,52475,1980
Argentina,26916,1980
Algeria,14801,1980
Albania,533,1980
Zimbabwe,1557,1984
Zambia,657,1984
Uruguay,1185,1984
United States,1000000,1984
United Arab Emirates,10338,1984
Uganda,879,1984
Tunisia,2028,1984
Trinidad and Tobago,1905,1984
Tonga,0,1984
Togo,235,1984
Thailand,10336,1984
Tanzania,3180,1984
Switzerland,27093,1984
Sweden,26991,1984
Suriname,198,1984
Sudan,2571,1984
Sri Lanka,1480,1984
Spain,42579,1984
